CO2_Limit,Generator,AP_g
10250.5182,CCGT,10070
10250.5182,Coal,113.1493768
10251.5182,Diesel,768.4675483
10251.5182,OCGT,2444
10251.5182,CCGT,10070
10251.5182,Coal,115.6638047
10252.5182,Diesel,766.1516279
10252.5182,OCGT,2444
10252.5182,CCGT,10070
10252.5182,Coal,118.1782325
10253.5182,Diesel,763.8357075
10253.5182,OCGT,2444
10253.5182,CCGT,10070
10253.5182,Coal,120.6926604
10254.5182,Diesel,761.5197872
10254.5182,OCGT,2444
10254.5182,CCGT,10070
10254.5182,Coal,123.2070882
10255.5182,Diesel,759.2038668
10255.5182,OCGT,2444
10255.5182,CCGT,10070
10255.5182,Coal,125.7215161
10256.5182,Diesel,756.8879464
10256.5182,OCGT,2444
10256.5182,CCGT,10070
10256.5182,Coal,128.235944
10257.5182,Diesel,754.572026
10257.5182,OCGT,2444
10257.5182,CCGT,10070
10257.5182,Coal,130.7503718
10258.5182,Diesel,752.2561056
10258.5182,OCGT,2444
10258.5182,CCGT,10070
10258.5182,Coal,133.2647997
10259.5182,Diesel,749.9401852
10259.5182,OCGT,2444
10259.5182,CCGT,10070
10259.5182,Coal,135.7792275
10260.5182,Diesel,747.6242648
10260.5182,OCGT,2444
10260.5182,CCGT,10070
10260.5182,Coal,138.2936554
10261.5182,Diesel,745.3083444
10261.5182,OCGT,2444
10261.5182,CCGT,10070
10261.5182,Coal,140.8080833
10262.5182,Diesel,742.992424
10262.5182,OCGT,2444
10262.5182,CCGT,10070
10262.5182,Coal,143.3225111
10263.5182,Diesel,740.6765036
10263.5182,OCGT,2444
10263.5182,CCGT,10070
10263.5182,Coal,145.836939
10264.5182,Diesel,738.3605832
10264.5182,OCGT,2444
10264.5182,CCGT,10070
10264.5182,Coal,148.3513668
10265.5182,Diesel,736.0446628
10265.5182,OCGT,2444
10265.5182,CCGT,10070
10265.5182,Coal,150.8657947
10266.5182,Diesel,733.7287424
10266.5182,OCGT,2444
10266.5182,CCGT,10070
10266.5182,Coal,153.3802226
10267.5182,Diesel,731.412822
10267.5182,OCGT,2444
10267.5182,CCGT,10070
10267.5182,Coal,155.8946504
10268.5182,Diesel,729.0969016
10268.5182,OCGT,2444
10268.5182,CCGT,10070
10268.5182,Coal,158.4090783
10269.5182,Diesel,726.7809812
10269.5182,OCGT,2444
10269.5182,CCGT,10070
10269.5182,Coal,160.9235061
10270.5182,Diesel,724.4650608
10270.5182,OCGT,2444
10270.5182,CCGT,10070
10270.5182,Coal,163.437934
10271.5182,Diesel,722.1491404
10271.5182,OCGT,2444
10271.5182,CCGT,10070
10271.5182,Coal,165.9523619
10272.5182,Diesel,719.83322
10272.5182,OCGT,2444
10272.5182,CCGT,10070
10272.5182,Coal,168.4667897
10273.5182,Diesel,717.5172996
10273.5182,OCGT,2444
10273.5182,CCGT,10070
10273.5182,Coal,170.9812176
10274.5182,Diesel,715.2013792
10274.5182,OCGT,2444
10274.5182,CCGT,10070
10274.5182,Coal,173.4956454
10275.5182,Diesel,712.8854588
10275.5182,OCGT,2444
10275.5182,CCGT,10070
10275.5182,Coal,176.0100733
10276.5182,Diesel,710.5695384
10276.5182,OCGT,2444
10276.5182,CCGT,10070
10276.5182,Coal,178.5245012
10277.5182,Diesel,708.253618
10277.5182,OCGT,2444
10277.5182,CCGT,10070
10277.5182,Coal,181.038929
10278.5182,Diesel,705.9376976
10278.5182,OCGT,2444
10278.5182,CCGT,10070
10278.5182,Coal,183.5533569
10279.5182,Diesel,703.6217772
10279.5182,OCGT,2444
10279.5182,CCGT,10070
10279.5182,Coal,186.0677848
10280.5182,Diesel,701.3058568
10280.5182,OCGT,2444
10280.5182,CCGT,10070
10280.5182,Coal,188.5822126
10281.5182,Diesel,698.9899364
10281.5182,OCGT,2444
10281.5182,CCGT,10070
10281.5182,Coal,191.0966405
10282.5182,Diesel,696.674016
10282.5182,OCGT,2444
10282.5182,CCGT,10070
10282.5182,Coal,193.6110683
10283.5182,Diesel,694.3580956
10283.5182,OCGT,2444
10283.5182,CCGT,10070
10283.5182,Coal,196.1254962
10284.5182,Diesel,692.0421752
10284.5182,OCGT,2444
10284.5182,CCGT,10070
10284.5182,Coal,198.6399241
10285.5182,Diesel,689.7262548
10285.5182,OCGT,2444
10285.5182,CCGT,10070
10285.5182,Coal,201.1543519
10286.5182,Diesel,687.4103344
10286.5182,OCGT,2444
10286.5182,CCGT,10070
10286.5182,Coal,203.6687798
10287.5182,Diesel,685.094414
10287.5182,OCGT,2444
10287.5182,CCGT,10070
10287.5182,Coal,206.1832076
10288.5182,Diesel,682.7784936
10288.5182,OCGT,2444
10288.5182,CCGT,10070
10288.5182,Coal,208.6976355
10289.5182,Diesel,680.4625732
10289.5182,OCGT,2444
10289.5182,CCGT,10070
10289.5182,Coal,211.2120634
10290.5182,Diesel,678.1466528
10290.5182,OCGT,2444
10290.5182,CCGT,10070
10290.5182,Coal,213.7264912
10291.5182,Diesel,675.8307324
10291.5182,OCGT,2444
10291.5182,CCGT,10070
10291.5182,Coal,216.2409191
10292.5182,Diesel,673.514812
10292.5182,OCGT,2444
10292.5182,CCGT,10070
10292.5182,Coal,218.7553469
10293.5182,Diesel,671.1988916
10293.5182,OCGT,2444
10293.5182,CCGT,10070
10293.5182,Coal,221.2697748
10294.5182,Diesel,668.8829712
10294.5182,OCGT,2444
10294.5182,CCGT,10070
10294.5182,Coal,223.7842027
10295.5182,Diesel,666.5670508
10295.5182,OCGT,2444
10295.5182,CCGT,10070
10295.5182,Coal,226.2986305
10296.5182,Diesel,664.2511304
10296.5182,OCGT,2444
10296.5182,CCGT,10070
10296.5182,Coal,228.8130584
10297.5182,Diesel,661.93521
10297.5182,OCGT,2444
10297.5182,CCGT,10070
10297.5182,Coal,231.3274862
10298.5182,Diesel,659.6192896
10298.5182,OCGT,2444
10298.5182,CCGT,10070
10298.5182,Coal,233.8419141
10299.5182,Diesel,657.3033692
10299.5182,OCGT,2444
10299.5182,CCGT,10070
10299.5182,Coal,236.356342
10300.5182,Diesel,654.9874488
10300.5182,OCGT,2444
10300.5182,CCGT,10070
10300.5182,Coal,238.8707698
10301.5182,Diesel,652.6715284
10301.5182,OCGT,2444
10301.5182,CCGT,10070
10301.5182,Coal,241.3851977
10302.5182,Diesel,650.355608
10302.5182,OCGT,2444
10302.5182,CCGT,10070
10302.5182,Coal,243.8996255
10303.5182,Diesel,648.0396876
10303.5182,OCGT,2444
10303.5182,CCGT,10070
10303.5182,Coal,246.4140534
10304.5182,Diesel,645.7237673
10304.5182,OCGT,2444
10304.5182,CCGT,10070
10304.5182,Coal,248.9284813
10305.5182,Diesel,643.4078469
10305.5182,OCGT,2444
10305.5182,CCGT,10070
10305.5182,Coal,251.4429091
10306.5182,Diesel,641.0919265
10306.5182,OCGT,2444
