CO2_Limit,AC
2521.7305,1153415.746
2522.7305,1152494.936
2523.7305,1151574.125
2524.7305,1150653.315
2525.7305,1149732.505
2526.7305,1148811.694
2527.7305,1147890.884
2528.7305,1146970.074
2529.7305,1146049.263
2530.7305,1145128.453
2531.7305,1144207.643
2532.7305,1143286.832
2533.7305,1142366.022
2534.7305,1141445.212
2535.7305,1140524.401
2536.7305,1139603.591
2537.7305,1138682.781
2538.7305,1137761.971
2539.7305,1136841.16
2540.7305,1135920.35
2541.7305,1134999.54
2542.7305,1134078.729
2543.7305,1133157.919
2544.7305,1132237.109
2545.7305,1131316.298
2546.7305,1130395.488
2547.7305,1129474.678
2548.7305,1128553.867
2549.7305,1127633.057
2550.7305,1126712.247
2551.7305,1125791.436
2552.7305,1124870.626
2553.7305,1123949.816
2554.7305,1123029.006
2555.7305,1122108.195
2556.7305,1121187.385
2557.7305,1120266.575
2558.7305,1119345.764
2559.7305,1118424.954
2560.7305,1117504.144
2561.7305,1116583.333
2562.7305,1115662.523
2563.7305,1114882.373
2564.7305,1114463.028
2565.7305,1114043.682
2566.7305,1113624.336
2567.7305,1113204.99
2568.7305,1112785.644
2569.7305,1112366.299
2570.7305,1111946.953
2571.7305,1111527.607
2572.7305,1111108.261
2573.7305,1110688.915
2574.7305,1110269.569
2575.7305,1109850.224
2576.7305,1109430.878
2577.7305,1109011.532
2578.7305,1108592.186
2579.7305,1108172.84
2580.7305,1107753.495
2581.7305,1107334.149
2582.7305,1106914.803
2583.7305,1106495.457
2584.7305,1106076.111
2585.7305,1105656.765
2586.7305,1105237.42
2587.7305,1104818.074
2588.7305,1104398.728
2589.7305,1103979.382
2590.7305,1103560.036
2591.7305,1103140.691
2592.7305,1102721.345
2593.7305,1102301.999
2594.7305,1101882.653
2595.7305,1101463.307
2596.7305,1101043.961
2597.7305,1100624.616
2598.7305,1100205.27
2599.7305,1099785.924
2600.7305,1099366.578
2601.7305,1098947.232
2602.7305,1098527.886
2603.7305,1098108.541
2604.7305,1097689.195
2605.7305,1097269.849
2606.7305,1096850.503
2607.7305,1096431.157
2608.7305,1096011.812
2609.7305,1095592.466
2610.7305,1095173.12
2611.7305,1094753.774
2612.7305,1094334.428
2613.7305,1093915.082
2614.7305,1093495.737
2615.7305,1093076.391
2616.7305,1092657.045
2617.7305,1092237.699
2618.7305,1091818.353
2619.7305,1091399.008
2620.7305,1090979.662
2621.7305,1090560.316
2622.7305,1090140.97
2623.7305,1089721.624
2624.7305,1089302.278
2625.7305,1088882.933
2626.7305,1088463.587
2627.7305,1088044.241
2628.7305,1087624.895
2629.7305,1087205.549
2630.7305,1086786.204
2631.7305,1086366.858
2632.7305,1085947.512
2633.7305,1085528.166
2634.7305,1085108.82
2635.7305,1084689.474
2636.7305,1084270.129
2637.7305,1083850.783
2638.7305,1083431.437
2639.7305,1083012.091
2640.7305,1082592.745
2641.7305,1082173.399
2642.7305,1081754.054
2643.7305,1081334.708
2644.7305,1080915.362
2645.7305,1080496.016
2646.7305,1080076.67
2647.7305,1079657.325
2648.7305,1079237.979
2649.7305,1078818.633
2650.7305,1078399.287
2651.7305,1077979.941
2652.7305,1077560.595
2653.7305,1077141.25
2654.7305,1076721.904
2655.7305,1076302.558
2656.7305,1075883.212
2657.7305,1075463.866
2658.7305,1075044.521
2659.7305,1074625.175
2660.7305,1074205.829
2661.7305,1073786.483
2662.7305,1073367.137
2663.7305,1072947.791
2664.7305,1072528.446
2665.7305,1072109.1
2666.7305,1071689.754
2667.7305,1071270.408
2668.7305,1070851.062
2669.7305,1070431.717
2670.7305,1070012.371
2671.7305,1069593.025
2672.7305,1069173.679
2673.7305,1068754.333
2674.7305,1068334.987
2675.7305,1067915.642
2676.7305,1067496.296
2677.7305,1067076.95
2678.7305,1066657.604
2679.7305,1066238.258
2680.7305,1065818.912
2681.7305,1065399.567
2682.7305,1064980.221
2683.7305,1064560.875
2684.7305,1064141.529
2685.7305,1063722.183
2686.7305,1063302.838
2687.7305,1062883.492
2688.7305,1062464.146
2689.7305,1062044.8
2690.7305,1061625.454
2691.7305,1061206.108
2692.7305,1060786.763
2693.7305,1060367.417
2694.7305,1059948.071
2695.7305,1059528.725
2696.7305,1059109.379
2697.7305,1058690.034
2698.7305,1058270.688
2699.7305,1057851.342
2700.7305,1057431.996
2701.7305,1057012.65
2702.7305,1056593.304
2703.7305,1056173.959
2704.7305,1055754.613
2705.7305,1055335.267
2706.7305,1054915.921
2707.7305,1054496.575
2708.7305,1054077.23
2709.7305,1053657.884
2710.7305,1053238.538
2711.7305,1052819.192
2712.7305,1052399.846
2713.7305,1051990.666
2714.7305,1051789.944
2715.7305,1051589.221
2716.7305,1051388.499
2717.7305,1051187.776
2718.7305,1050987.053
2719.7305,1050786.331
2720.7305,1050585.608
2721.7305,1050384.886
2722.7305,1050184.163
2723.7305,1049983.44
2724.7305,1049782.718
2725.7305,1049581.995
2726.7305,1049381.273
2727.7305,1049180.55
2728.7305,1048979.827
2729.7305,1048779.105
2730.7305,1048578.382
2731.7305,1048377.66
2732.7305,1048176.937
2733.7305,1047976.214
2734.7305,1047775.492
2735.7305,1047574.769
2736.7305,1047374.047
2737.7305,1047173.324
2738.7305,1046972.601
2739.7305,1046771.879
2740.7305,1046571.156
2741.7305,1046370.434
2742.7305,1046169.711
2743.7305,1045968.988
2744.7305,1045768.266
2745.7305,1045567.543
2746.7305,1045366.821
2747.7305,1045166.098
2748.7305,1044965.375
2749.7305,1044764.653
2750.7305,1044563.93
2751.7305,1044363.208
2752.7305,1044162.485
2753.7305,1043961.762
2754.7305,1043761.04
2755.7305,1043560.317
2756.7305,1043359.595
2757.7305,1043158.872
2758.7305,1042958.149
2759.7305,1042757.427
2760.7305,1042556.704
2761.7305,1042355.982
2762.7305,1042155.259
2763.7305,1041954.536
2764.7305,1041753.814
2765.7305,1041553.091
2766.7305,1041352.369
2767.7305,1041151.646
2768.7305,1040950.923
2769.7305,1040750.201
2770.7305,1040549.478
2771.7305,1040348.756
2772.7305,1040148.033
2773.7305,1039947.31
2774.7305,1039746.588
2775.7305,1039545.865
2776.7305,1039345.143
2777.7305,1039144.42
2778.7305,1038943.697
2779.7305,1038742.975
2780.7305,1038542.252
2781.7305,1038341.53
2782.7305,1038140.807
2783.7305,1037940.084
2784.7305,1037739.362
2785.7305,1037538.639
2786.7305,1037337.916
2787.7305,1037137.194
2788.7305,1036936.471
2789.7305,1036735.749
2790.7305,1036535.026
2791.7305,1036334.303
2792.7305,1036133.581
2793.7305,1035932.858
2794.7305,1035732.136
2795.7305,1035531.413
2796.7305,1035330.69
2797.7305,1035129.968
2798.7305,1034929.245
2799.7305,1034728.523
2800.7305,1034527.8
2801.7305,1034327.077
2802.7305,1034126.355
2803.7305,1033925.632
2804.7305,1033724.91
2805.7305,1033524.187
2806.7305,1033323.464
2807.7305,1033122.742
2808.7305,1032922.019
2809.7305,1032721.297
2810.7305,1032520.574
2811.7305,1032319.851
2812.7305,1032119.129
2813.7305,1031918.406
2814.7305,1031717.684
2815.7305,1031516.961
2816.7305,1031316.238
2817.7305,1031115.516
2818.7305,1030914.793
2819.7305,1030714.071
2820.7305,1030513.348
2821.7305,1030312.625
2822.7305,1030111.903
2823.7305,1029911.18
2824.7305,1029710.458
2825.7305,1029509.735
2826.7305,1029309.012
2827.7305,1029108.29
2828.7305,1028907.567
2829.7305,1028706.845
2830.7305,1028506.122
2831.7305,1028305.399
2832.7305,1028104.677
2833.7305,1027903.954
2834.7305,1027703.232
2835.7305,1027502.509
2836.7305,1027301.786
2837.7305,1027101.064
2838.7305,1026900.341
2839.7305,1026699.619
2840.7305,1026498.896
2841.7305,1026298.173
2842.7305,1026097.451
2843.7305,1025896.728
2844.7305,1025696.006
2845.7305,1025495.283
2846.7305,1025294.56
2847.7305,1025093.838
2848.7305,1024893.115
2849.7305,1024692.393
2850.7305,1024491.67
2851.7305,1024290.947
2852.7305,1024090.225
2853.7305,1023889.502
2854.7305,1023688.78
2855.7305,1023488.057
2856.7305,1023287.334
2857.7305,1023086.612
2858.7305,1022885.889
2859.7305,1022685.167
2860.7305,1022484.444
2861.7305,1022283.721
2862.7305,1022082.999
2863.7305,1021882.276
2864.7305,1021681.554
2865.7305,1021480.831
2866.7305,1021280.108
2867.7305,1021079.386
2868.7305,1020878.663
2869.7305,1020677.941
2870.7305,1020477.218
2871.7305,1020276.495
2872.7305,1020075.773
2873.7305,1019875.05
2874.7305,1019674.328
2875.7305,1019473.605
2876.7305,1019272.882
2877.7305,1019072.16
2878.7305,1018871.437
2879.7305,1018670.715
2880.7305,1018469.992
2881.7305,1018269.269
2882.7305,1018068.547
2883.7305,1017867.824
2884.7305,1017667.102
2885.7305,1017466.379
2886.7305,1017265.656
2887.7305,1017064.934
2888.7305,1016864.211
2889.7305,1016663.489
2890.7305,1016462.766
2891.7305,1016262.043
2892.7305,1016061.321
2893.7305,1015860.598
2894.7305,1015659.876
2895.7305,1015459.153
2896.7305,1015258.43
2897.7305,1015057.708
2898.7305,1014856.985
2899.7305,1014656.263
2900.7305,1014455.54
2901.7305,1014254.817
2902.7305,1014054.095
2903.7305,1013853.372
2904.7305,1013652.65
2905.7305,1013451.927
2906.7305,1013251.204
2907.7305,1013050.482
2908.7305,1012849.759
2909.7305,1012649.037
2910.7305,1012448.314
2911.7305,1012247.591
2912.7305,1012046.869
2913.7305,1011846.146
2914.7305,1011645.424
2915.7305,1011444.701
2916.7305,1011243.978
2917.7305,1011043.256
2918.7305,1010842.533
2919.7305,1010641.811
2920.7305,1010441.088
2921.7305,1010240.365
2922.7305,1010039.643
2923.7305,1009838.92
