CO2_Limit,Generator,AP_g
2301.7305,CCGT,2142.67938
2301.7305,Coal,0
2302.7305,Diesel,4400.685247
2302.7305,OCGT,4700
2302.7305,CCGT,2187.105197
2302.7305,Coal,0
2303.7305,Diesel,4371.347443
2303.7305,OCGT,4700
2303.7305,CCGT,2231.531014
2303.7305,Coal,0
2304.7305,Diesel,4342.00964
2304.7305,OCGT,4700
2304.7305,CCGT,2275.956832
2304.7305,Coal,0
2305.7305,Diesel,4312.671836
2305.7305,OCGT,4700
2305.7305,CCGT,2320.382649
2305.7305,Coal,0
2306.7305,Diesel,4283.334032
2306.7305,OCGT,4700
2306.7305,CCGT,2364.808466
2306.7305,Coal,0
2307.7305,Diesel,4253.996228
2307.7305,OCGT,4700
2307.7305,CCGT,2409.234283
2307.7305,Coal,0
2308.7305,Diesel,4224.658424
2308.7305,OCGT,4700
2308.7305,CCGT,2453.660101
2308.7305,Coal,0
2309.7305,Diesel,4195.32062
2309.7305,OCGT,4700
2309.7305,CCGT,2498.085918
2309.7305,Coal,0
2310.7305,Diesel,4165.982816
2310.7305,OCGT,4700
2310.7305,CCGT,2542.511735
2310.7305,Coal,0
2311.7305,Diesel,4136.645013
2311.7305,OCGT,4700
2311.7305,CCGT,2586.937552
2311.7305,Coal,0
2312.7305,Diesel,4107.307209
2312.7305,OCGT,4700
2312.7305,CCGT,2631.36337
2312.7305,Coal,0
2313.7305,Diesel,4077.969405
2313.7305,OCGT,4700
2313.7305,CCGT,2675.789187
2313.7305,Coal,0
2314.7305,Diesel,4048.631601
2314.7305,OCGT,4700
2314.7305,CCGT,2720.215004
2314.7305,Coal,0
2315.7305,Diesel,4019.293797
2315.7305,OCGT,4700
2315.7305,CCGT,2764.640821
2315.7305,Coal,0
2316.7305,Diesel,3989.955993
2316.7305,OCGT,4700
2316.7305,CCGT,2809.066639
2316.7305,Coal,0
2317.7305,Diesel,3960.618189
2317.7305,OCGT,4700
2317.7305,CCGT,2853.492456
2317.7305,Coal,0
2318.7305,Diesel,3931.280386
2318.7305,OCGT,4700
2318.7305,CCGT,2897.918273
2318.7305,Coal,0
2319.7305,Diesel,3901.942582
2319.7305,OCGT,4700
2319.7305,CCGT,2942.344091
2319.7305,Coal,0
2320.7305,Diesel,3872.604778
2320.7305,OCGT,4700
2320.7305,CCGT,2986.769908
2320.7305,Coal,0
2321.7305,Diesel,3843.266974
2321.7305,OCGT,4700
2321.7305,CCGT,3031.195725
2321.7305,Coal,0
2322.7305,Diesel,3813.92917
2322.7305,OCGT,4700
2322.7305,CCGT,3075.621542
2322.7305,Coal,0
2323.7305,Diesel,3784.591366
2323.7305,OCGT,4700
2323.7305,CCGT,3120.04736
2323.7305,Coal,0
2324.7305,Diesel,3755.253562
2324.7305,OCGT,4700
2324.7305,CCGT,3164.473177
2324.7305,Coal,0
2325.7305,Diesel,3725.915759
2325.7305,OCGT,4700
2325.7305,CCGT,3208.898994
2325.7305,Coal,0
2326.7305,Diesel,3696.577955
2326.7305,OCGT,4700
2326.7305,CCGT,3253.324811
2326.7305,Coal,0
2327.7305,Diesel,3667.240151
2327.7305,OCGT,4700
2327.7305,CCGT,3297.750629
2327.7305,Coal,0
2328.7305,Diesel,3637.902347
2328.7305,OCGT,4700
2328.7305,CCGT,3342.176446
2328.7305,Coal,0
2329.7305,Diesel,3608.564543
2329.7305,OCGT,4700
2329.7305,CCGT,3386.602263
2329.7305,Coal,0
2330.7305,Diesel,3579.226739
2330.7305,OCGT,4700
2330.7305,CCGT,3431.02808
2330.7305,Coal,0
2331.7305,Diesel,3549.888935
2331.7305,OCGT,4700
2331.7305,CCGT,3475.453898
2331.7305,Coal,0
2332.7305,Diesel,3520.551132
2332.7305,OCGT,4700
2332.7305,CCGT,3519.879715
2332.7305,Coal,0
2333.7305,Diesel,3491.213328
2333.7305,OCGT,4700
2333.7305,CCGT,3564.305532
2333.7305,Coal,0
2334.7305,Diesel,3461.875524
2334.7305,OCGT,4700
2334.7305,CCGT,3608.73135
2334.7305,Coal,0
2335.7305,Diesel,3432.53772
2335.7305,OCGT,4700
2335.7305,CCGT,3653.157167
2335.7305,Coal,0
2336.7305,Diesel,3403.199916
2336.7305,OCGT,4700
2336.7305,CCGT,3697.582984
2336.7305,Coal,0
2337.7305,Diesel,3373.862112
2337.7305,OCGT,4700
2337.7305,CCGT,3742.008801
2337.7305,Coal,0
2338.7305,Diesel,3344.524308
2338.7305,OCGT,4700
2338.7305,CCGT,3786.434619
2338.7305,Coal,0
2339.7305,Diesel,3315.186505
2339.7305,OCGT,4700
2339.7305,CCGT,3830.860436
2339.7305,Coal,0
2340.7305,Diesel,3285.848701
2340.7305,OCGT,4700
2340.7305,CCGT,3875.286253
2340.7305,Coal,0
2341.7305,Diesel,3256.510897
2341.7305,OCGT,4700
2341.7305,CCGT,3919.71207
2341.7305,Coal,0
2342.7305,Diesel,3227.173093
2342.7305,OCGT,4700
2342.7305,CCGT,3964.137888
2342.7305,Coal,0
2343.7305,Diesel,3197.835289
2343.7305,OCGT,4700
2343.7305,CCGT,4008.563705
2343.7305,Coal,0
2344.7305,Diesel,3168.497485
2344.7305,OCGT,4700
2344.7305,CCGT,4052.989522
2344.7305,Coal,0
2345.7305,Diesel,3139.159681
2345.7305,OCGT,4700
2345.7305,CCGT,4097.415339
2345.7305,Coal,0
2346.7305,Diesel,3109.821878
2346.7305,OCGT,4700
2346.7305,CCGT,4141.841157
2346.7305,Coal,0
2347.7305,Diesel,3080.484074
2347.7305,OCGT,4700
2347.7305,CCGT,4186.266974
2347.7305,Coal,0
2348.7305,Diesel,3051.14627
2348.7305,OCGT,4700
2348.7305,CCGT,4230.692791
2348.7305,Coal,0
2349.7305,Diesel,3021.808466
2349.7305,OCGT,4700
2349.7305,CCGT,4275.118609
2349.7305,Coal,0
2350.7305,Diesel,2992.470662
2350.7305,OCGT,4700
2350.7305,CCGT,4319.544426
2350.7305,Coal,0
2351.7305,Diesel,2963.132858
2351.7305,OCGT,4700
2351.7305,CCGT,4363.970243
2351.7305,Coal,0
2352.7305,Diesel,2933.795054
2352.7305,OCGT,4700
2352.7305,CCGT,4408.39606
2352.7305,Coal,0
2353.7305,Diesel,2904.457251
2353.7305,OCGT,4700
2353.7305,CCGT,4452.821878
2353.7305,Coal,0
2354.7305,Diesel,2875.119447
2354.7305,OCGT,4700
2354.7305,CCGT,4497.247695
2354.7305,Coal,0
2355.7305,Diesel,2845.781643
2355.7305,OCGT,4700
2355.7305,CCGT,4541.673512
2355.7305,Coal,0
2356.7305,Diesel,2816.443839
2356.7305,OCGT,4700
2356.7305,CCGT,4586.099329
2356.7305,Coal,0
2357.7305,Diesel,2787.106035
2357.7305,OCGT,4700
